               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.029793,            0.020511,            0.001505,             0.87966,              0.8779,             0.93263,             0.59977,            0.027309,            0.011256,          0.00076988,            0.004951,            0.004951,            0.004951
                 104,            0.029868,             0.02048,           0.0014614,             0.87874,             0.87824,             0.93286,             0.60056,            0.027292,            0.011242,          0.00076895,           0.0049015,           0.0049015,           0.0049015
                 105,              0.0296,            0.020396,           0.0014252,             0.88194,             0.87359,             0.93301,             0.60143,            0.027268,            0.011229,          0.00076776,            0.004852,            0.004852,            0.004852
                 106,            0.029537,            0.020432,            0.001445,             0.87902,             0.87827,             0.93291,             0.60194,            0.027243,            0.011217,          0.00076657,           0.0048025,           0.0048025,           0.0048025
                 107,            0.029498,            0.020231,           0.0014527,              0.8823,             0.87586,             0.93336,             0.60328,            0.027217,            0.011204,          0.00076505,            0.004753,            0.004753,            0.004753
                 108,            0.029456,            0.020173,           0.0014698,             0.88263,             0.87859,             0.93433,             0.60411,             0.02719,            0.011191,          0.00076336,           0.0047035,           0.0047035,           0.0047035
                 109,            0.029529,            0.020177,            0.001457,             0.88226,             0.88229,             0.93452,             0.60417,            0.027162,            0.011177,          0.00076189,            0.004654,            0.004654,            0.004654
                 110,            0.029096,            0.020244,           0.0014386,             0.88284,             0.88229,             0.93479,             0.60429,            0.027135,            0.011166,          0.00076061,           0.0046045,           0.0046045,           0.0046045
                 111,             0.02922,            0.020066,           0.0013419,              0.8829,             0.88286,             0.93498,             0.60496,            0.027106,            0.011155,          0.00075961,            0.004555,            0.004555,            0.004555
                 112,            0.029146,            0.020214,           0.0014815,             0.88397,             0.88413,             0.93533,             0.60562,            0.027081,            0.011144,          0.00075892,           0.0045055,           0.0045055,           0.0045055
                 113,            0.029229,            0.020057,           0.0013933,             0.88435,             0.88476,             0.93576,              0.6065,            0.027049,            0.011132,          0.00075754,            0.004456,            0.004456,            0.004456
                 114,            0.029101,            0.020031,           0.0013967,              0.8841,             0.88458,             0.93593,             0.60703,            0.027022,            0.011121,          0.00075653,           0.0044065,           0.0044065,           0.0044065
                 115,            0.029095,            0.019875,           0.0015013,             0.88586,             0.88534,             0.93606,             0.60733,             0.02699,            0.011108,          0.00075648,            0.004357,            0.004357,            0.004357
                 116,            0.028789,            0.019954,           0.0013854,             0.88561,             0.88771,             0.93617,              0.6082,            0.026958,            0.011096,          0.00075518,           0.0043075,           0.0043075,           0.0043075
                 117,            0.028813,            0.019957,           0.0014901,             0.88973,             0.88442,             0.93644,             0.60896,             0.02693,            0.011084,          0.00075329,            0.004258,            0.004258,            0.004258
                 118,            0.028882,            0.019802,           0.0013819,             0.89017,             0.88502,             0.93672,             0.60962,            0.026896,            0.011072,          0.00075246,           0.0042085,           0.0042085,           0.0042085
                 119,            0.028855,            0.019736,           0.0015092,             0.89091,              0.8862,             0.93746,             0.61017,            0.026866,            0.011059,          0.00075099,            0.004159,            0.004159,            0.004159
                 120,            0.028781,            0.019789,           0.0014057,             0.89074,             0.88773,             0.93771,             0.61094,            0.026832,            0.011047,          0.00074932,           0.0041095,           0.0041095,           0.0041095
                 121,            0.028572,             0.01967,           0.0013055,             0.89056,             0.88802,             0.93748,             0.61152,            0.026796,            0.011035,          0.00074818,             0.00406,             0.00406,             0.00406
                 122,            0.028648,            0.019777,           0.0013323,             0.89021,             0.88872,             0.93783,             0.61246,            0.026761,            0.011023,          0.00074659,           0.0040105,           0.0040105,           0.0040105
                 123,             0.02851,            0.019778,           0.0013745,             0.89178,             0.88884,             0.93805,             0.61269,            0.026726,            0.011011,          0.00074554,            0.003961,            0.003961,            0.003961
                 124,            0.028436,            0.019695,           0.0014655,             0.89115,             0.88825,             0.93843,             0.61319,            0.026693,            0.010999,          0.00074325,           0.0039115,           0.0039115,           0.0039115
                 125,            0.028223,            0.019406,           0.0013907,             0.89087,             0.88791,             0.93864,             0.61302,             0.02666,            0.010988,          0.00074252,            0.003862,            0.003862,            0.003862
                 126,            0.028337,            0.019525,           0.0013651,             0.89076,             0.88768,             0.93872,             0.61461,            0.026625,            0.010976,          0.00074231,           0.0038125,           0.0038125,           0.0038125
                 127,            0.028003,            0.019521,           0.0013278,              0.8906,             0.88541,             0.93928,             0.61496,            0.026595,            0.010963,          0.00074052,            0.003763,            0.003763,            0.003763
                 128,            0.028217,            0.019508,           0.0013371,             0.89017,             0.88501,              0.9393,              0.6157,            0.026561,             0.01095,          0.00073854,           0.0037135,           0.0037135,           0.0037135
                 129,            0.028002,             0.01955,           0.0013098,              0.8921,             0.88501,             0.93929,             0.61679,            0.026526,            0.010938,          0.00073666,            0.003664,            0.003664,            0.003664
                 130,            0.027955,            0.019435,           0.0012786,             0.89384,             0.88549,             0.93917,             0.61745,            0.026495,            0.010927,          0.00073567,           0.0036145,           0.0036145,           0.0036145
                 131,            0.027897,            0.019329,           0.0012616,             0.89374,             0.88686,             0.93945,              0.6181,            0.026463,            0.010915,          0.00073523,            0.003565,            0.003565,            0.003565
                 132,            0.027731,            0.019125,           0.0012977,             0.89538,             0.88731,             0.93995,             0.61884,            0.026433,            0.010903,          0.00073445,           0.0035155,           0.0035155,           0.0035155
                 133,            0.027861,            0.019496,           0.0013337,             0.89514,             0.88731,             0.94037,             0.62006,            0.026399,             0.01089,          0.00073388,            0.003466,            0.003466,            0.003466
                 134,            0.027731,            0.019219,           0.0012982,             0.89612,             0.88731,             0.94043,             0.62087,            0.026367,            0.010876,          0.00073328,           0.0034165,           0.0034165,           0.0034165
                 135,            0.027446,            0.019346,           0.0011805,             0.89776,             0.88731,             0.94058,             0.62112,            0.026336,            0.010863,          0.00073417,            0.003367,            0.003367,            0.003367
                 136,            0.027588,            0.019042,           0.0012678,               0.897,             0.88682,             0.94041,             0.62241,            0.026302,            0.010848,          0.00073543,           0.0033175,           0.0033175,           0.0033175
                 137,            0.027351,            0.018912,           0.0012285,             0.89741,             0.88731,             0.94122,             0.62303,            0.026269,            0.010835,          0.00073511,            0.003268,            0.003268,            0.003268
                 138,             0.02747,            0.019073,           0.0011927,              0.8992,             0.88594,             0.94126,             0.62383,            0.026233,            0.010821,          0.00073464,           0.0032185,           0.0032185,           0.0032185
                 139,            0.027499,            0.019065,           0.0012738,             0.90019,             0.88594,             0.94163,             0.62484,            0.026195,            0.010806,          0.00073356,            0.003169,            0.003169,            0.003169
                 140,            0.027302,            0.018934,           0.0013696,             0.90225,             0.88687,             0.94209,             0.62545,            0.026161,            0.010791,          0.00073339,           0.0031195,           0.0031195,           0.0031195
                 141,            0.027165,            0.018802,           0.0011661,             0.90286,             0.88607,             0.94231,             0.62577,            0.026127,            0.010778,          0.00073228,             0.00307,             0.00307,             0.00307
                 142,            0.027086,            0.018802,           0.0012933,             0.90459,             0.88253,             0.94246,             0.62602,            0.026091,            0.010764,           0.0007319,           0.0030205,           0.0030205,           0.0030205
                 143,            0.026858,            0.018785,           0.0011299,             0.90614,              0.8841,             0.94273,             0.62638,            0.026057,             0.01075,          0.00073276,            0.002971,            0.002971,            0.002971
                 144,            0.026886,            0.018693,           0.0011583,             0.90655,             0.88457,             0.94285,              0.6266,            0.026022,            0.010736,          0.00073406,           0.0029215,           0.0029215,           0.0029215
                 145,            0.026897,            0.018819,           0.0011812,             0.90792,             0.88401,             0.94303,             0.62683,            0.025987,            0.010721,           0.0007341,            0.002872,            0.002872,            0.002872
                 146,            0.026737,            0.018727,           0.0012078,             0.90759,             0.88319,             0.94266,             0.62825,            0.025951,            0.010706,          0.00073367,           0.0028225,           0.0028225,           0.0028225
                 147,             0.02675,            0.018781,            0.001164,             0.90866,             0.88273,             0.94346,              0.6288,            0.025913,            0.010692,          0.00073368,            0.002773,            0.002773,            0.002773
                 148,            0.026602,            0.018597,           0.0012679,             0.90867,             0.88298,             0.94379,             0.62918,            0.025876,            0.010678,          0.00073388,           0.0027235,           0.0027235,           0.0027235
                 149,            0.026645,            0.018654,           0.0011815,             0.90862,             0.88327,             0.94393,             0.62946,            0.025844,            0.010665,          0.00073342,            0.002674,            0.002674,            0.002674
                 150,             0.02654,            0.018663,           0.0011868,             0.90457,             0.88842,             0.94394,             0.62974,            0.025811,            0.010651,          0.00073297,           0.0026245,           0.0026245,           0.0026245
                 151,            0.026507,            0.018454,           0.0011828,             0.90351,             0.88855,             0.94402,             0.63076,            0.025776,            0.010637,          0.00073242,            0.002575,            0.002575,            0.002575
                 152,            0.026573,            0.018453,           0.0011572,             0.90516,             0.88846,             0.94494,              0.6316,            0.025742,            0.010623,          0.00073268,           0.0025255,           0.0025255,           0.0025255
                 153,            0.026164,            0.018417,           0.0011694,             0.90367,             0.89005,             0.94437,             0.63213,             0.02571,             0.01061,          0.00073247,            0.002476,            0.002476,            0.002476
                 154,            0.026181,            0.018288,           0.0011075,              0.9034,             0.88958,              0.9447,             0.63325,            0.025676,            0.010596,          0.00073118,           0.0024265,           0.0024265,           0.0024265
